old_url,new_url
/locations/,/mattress-removal/
/book-online/,/pricing/
/blog/,/
/search/,/
/about-us/,/about/
/about-us.html/,/about/
/contact-us/,/contact/
/pricing-2/,/pricing/
/colorado-pricing/,/pricing/
/box-spring-disposal-2/,/pricing/
/my-account/,/
/affiliate-disclosure/,/privacy/
/mpg_url/,/
