source_url,target_url
/Wichita-KS/,/mattress-removal/kansas/wichita/
/Salem-OR,/mattress-removal/oregon/salem/
/Salem-OR/,/mattress-removal/oregon/salem/
/flagstaff-az,/mattress-removal/arizona/flagstaff/
/flagstaff-az/,/mattress-removal/arizona/flagstaff/
/canton-oh,/mattress-removal/ohio/canton/
/canton-oh/,/mattress-removal/ohio/canton/
/mansfield-oh,/mattress-removal/ohio/mansfield/
/mansfield-oh/,/mattress-removal/ohio/mansfield/
/Reading-PA,/mattress-removal/pennsylvania/reading/
/Reading-PA/,/mattress-removal/pennsylvania/reading/
/downers-grove-il,/mattress-removal/illinois/chicago/downers-grove/
/downers-grove-il/,/mattress-removal/illinois/chicago/downers-grove/
/albany-or,/mattress-removal/oregon/albany/
/albany-or/,/mattress-removal/oregon/albany/
/overland-park-ks,/mattress-removal/kansas/kansas-city/overland-park/
/overland-park-ks/,/mattress-removal/kansas/kansas-city/overland-park/
/louisville-ky,/mattress-removal/kentucky/louisville/
/louisville-ky/,/mattress-removal/kentucky/louisville/
/bellingham-wa,/mattress-removal/washington/bellingham/
/bellingham-wa/,/mattress-removal/washington/bellingham/
/joplin-mo,/mattress-removal/missouri/joplin/
/joplin-mo/,/mattress-removal/missouri/joplin/
/winston-salem-nc,/mattress-removal/north-carolina/winston-salem/
/winston-salem-nc/,/mattress-removal/north-carolina/winston-salem/
/Appleton-WI,/mattress-removal/wisconsin/appleton/
/Appleton-WI/,/mattress-removal/wisconsin/appleton/
/south-bend-in,/mattress-removal/indiana/south-bend/
/south-bend-in/,/mattress-removal/indiana/south-bend/
/Rapid-City-SD,/mattress-removal/south-dakota/rapid-city/
/Rapid-City-SD/,/mattress-removal/south-dakota/rapid-city/
/beavercreek-oh,/mattress-removal/ohio/dayton/beavercreek/
/beavercreek-oh/,/mattress-removal/ohio/dayton/beavercreek/
/Madison-WI,/mattress-removal/wisconsin/madison/
/Madison-WI/,/mattress-removal/wisconsin/madison/
/Anchorage-AK,/mattress-removal/alaska/anchorage/
/Anchorage-AK/,/mattress-removal/alaska/anchorage/
/woodstock-ga,/mattress-removal/georgia/atlanta/woodstock/
/woodstock-ga/,/mattress-removal/georgia/atlanta/woodstock/
/newark-de,/mattress-removal/delaware/newark/
/newark-de/,/mattress-removal/delaware/newark/
/orem-ut,/mattress-removal/utah/provo/orem/
/orem-ut/,/mattress-removal/utah/provo/orem/
/duluth-mn,/mattress-removal/minnesota/duluth/
/duluth-mn/,/mattress-removal/minnesota/duluth/
/janesville-wi,/mattress-removal/wisconsin/janesville/
/janesville-wi/,/mattress-removal/wisconsin/janesville/
/lancaster-pa,/mattress-removal/pennsylvania/lancaster/
/lancaster-pa/,/mattress-removal/pennsylvania/lancaster/
/Logan-UT,/mattress-removal/utah/logan/
/Logan-UT/,/mattress-removal/utah/logan/
/Seattle-WA,/mattress-removal/washington/seattle/
/Seattle-WA/,/mattress-removal/washington/seattle/
/medford-or,/mattress-removal/oregon/medford/
/medford-or/,/mattress-removal/oregon/medford/
/ithaca-ny,/mattress-removal/new-york/ithaca/
/ithaca-ny/,/mattress-removal/new-york/ithaca/
/sammamish-wa,/mattress-removal/washington/seattle/sammamish/
/sammamish-wa/,/mattress-removal/washington/seattle/sammamish/
/cheyenne-wy,/mattress-removal/wyoming/cheyenne/
/cheyenne-wy/,/mattress-removal/wyoming/cheyenne/
/Corvallis-OR,/mattress-removal/oregon/corvallis/
/Corvallis-OR/,/mattress-removal/oregon/corvallis/
/olathe-ks,/mattress-removal/kansas/kansas-city/olathe/
/olathe-ks/,/mattress-removal/kansas/kansas-city/olathe/
/anderson-sc,/mattress-removal/south-carolina/anderson/
/anderson-sc/,/mattress-removal/south-carolina/anderson/
/Tuscaloosa-AL,/mattress-removal/alabama/tuscaloosa/
/Tuscaloosa-AL/,/mattress-removal/alabama/tuscaloosa/
/sioux-falls-sd,/mattress-removal/south-dakota/sioux-falls/
/sioux-falls-sd/,/mattress-removal/south-dakota/sioux-falls/
/billings-mt,/mattress-removal/montana/billings/
/billings-mt/,/mattress-removal/montana/billings/
/ames-ia,/mattress-removal/iowa/ames/
/ames-ia/,/mattress-removal/iowa/ames/
/syracuse-ny,/mattress-removal/new-york/syracuse/
/syracuse-ny/,/mattress-removal/new-york/syracuse/
/morgantown-wv,/mattress-removal/west-virginia/morgantown/
/morgantown-wv/,/mattress-removal/west-virginia/morgantown/
/reno-nv,/mattress-removal/nevada/reno/
/reno-nv/,/mattress-removal/nevada/reno/
/bend-or,/mattress-removal/oregon/bend/
/bend-or/,/mattress-removal/oregon/bend/
/rochester-ny,/mattress-removal/new-york/rochester/
/rochester-ny/,/mattress-removal/new-york/rochester/
/Lafayette-IN,/mattress-removal/indiana/lafayette/
/Lafayette-IN/,/mattress-removal/indiana/lafayette/
/davenport-ia,/mattress-removal/iowa/davenport/
/davenport-ia/,/mattress-removal/iowa/davenport/
/indianapolis-in,/mattress-removal/indiana/indianapolis/
/indianapolis-in/,/mattress-removal/indiana/indianapolis/
/williamsport-pa,/mattress-removal/pennsylvania/williamsport/
/williamsport-pa/,/mattress-removal/pennsylvania/williamsport/
/summerville-sc,/mattress-removal/south-carolina/charleston/summerville/
/summerville-sc/,/mattress-removal/south-carolina/charleston/summerville/
/newark-oh,/mattress-removal/ohio/newark/
/newark-oh/,/mattress-removal/ohio/newark/
/wilkes-barre-pa,/mattress-removal/pennsylvania/wilkes-barre/
/wilkes-barre-pa/,/mattress-removal/pennsylvania/wilkes-barre/
/grants-pass-or,/mattress-removal/oregon/grants-pass/
/grants-pass-or/,/mattress-removal/oregon/grants-pass/
/Tigard-OR,/mattress-removal/oregon/portland/tigard/
/Tigard-OR/,/mattress-removal/oregon/portland/tigard/
/lebanon-pa,/mattress-removal/pennsylvania/lebanon/
/lebanon-pa/,/mattress-removal/pennsylvania/lebanon/
/Annapolis-MD,/mattress-removal/maryland/annapolis/
/Annapolis-MD/,/mattress-removal/maryland/annapolis/
/yakima-wa,/mattress-removal/washington/yakima/
/yakima-wa/,/mattress-removal/washington/yakima/
/santa-fe-nm,/mattress-removal/new-mexico/santa-fe/
/santa-fe-nm/,/mattress-removal/new-mexico/santa-fe/
/Lancaster-PA,/mattress-removal/pennsylvania/lancaster/
/Lancaster-PA/,/mattress-removal/pennsylvania/lancaster/
/fishers-in,/mattress-removal/indiana/indianapolis/fishers/
/fishers-in/,/mattress-removal/indiana/indianapolis/fishers/
/rio-rancho-nm,/mattress-removal/new-mexico/albuquerque/rio-rancho/
/rio-rancho-nm/,/mattress-removal/new-mexico/albuquerque/rio-rancho/
/Carmel-IN,/mattress-removal/indiana/indianapolis/carmel/
/Carmel-IN/,/mattress-removal/indiana/indianapolis/carmel/
/Bowling-Green-KY,/mattress-removal/kentucky/bowling-green/
/Bowling-Green-KY/,/mattress-removal/kentucky/bowling-green/
/Tulsa-OK,/mattress-removal/oklahoma/tulsa/
/Tulsa-OK/,/mattress-removal/oklahoma/tulsa/
/hattiesburg-ms,/mattress-removal/mississippi/hattiesburg/
/hattiesburg-ms/,/mattress-removal/mississippi/hattiesburg/
/fort-wayne-in,/mattress-removal/indiana/fort-wayne/
/fort-wayne-in/,/mattress-removal/indiana/fort-wayne/
/Little-Rock-AR,/mattress-removal/arkansas/little-rock/
/Little-Rock-AR/,/mattress-removal/arkansas/little-rock/
/clarksville-tn,/mattress-removal/tennessee/clarksville/
/clarksville-tn/,/mattress-removal/tennessee/clarksville/
/akron-oh,/mattress-removal/ohio/akron/
/akron-oh/,/mattress-removal/ohio/akron/
/ankeny-ia,/mattress-removal/iowa/des-moines/ankeny/
/ankeny-ia/,/mattress-removal/iowa/des-moines/ankeny/
/noblesville-in,/mattress-removal/indiana/indianapolis/noblesville/
/noblesville-in/,/mattress-removal/indiana/indianapolis/noblesville/
/Oklahoma-City-OK,/mattress-removal/oklahoma/oklahoma-city/
/Oklahoma-City-OK/,/mattress-removal/oklahoma/oklahoma-city/
/las-cruces-nm,/mattress-removal/new-mexico/las-cruces/
/las-cruces-nm/,/mattress-removal/new-mexico/las-cruces/
