old_url,new_url,redirect_type,category,priority,notes
"https://abedderworld.com/fort-collins-mattress-disposal.html","/fort-collins-mattress-disposal/","301","service","high","exact service match"
"https://abedderworld.com/Surprise-AZ/","/mattress-removal/arizona/","301","location","high","surprise -> arizona state page"
"https://abedderworld.com/Maricopa-AZ/","/mattress-removal/arizona/","301","location","high","maricopa -> arizona state page"
"https://abedderworld.com/East-Lansing-MI/","/mattress-removal/michigan/","301","location","high","east-lansing -> michigan state page"
"https://abedderworld.com/Dublin-OH/","/mattress-removal/ohio/","301","location","high","dublin -> ohio state page"
"https://abedderworld.com/jacksonville-mattress-disposal.html/","/jacksonville-mattress-disposal/","301","service","high","exact service match"
