source_url,target_url,status_code
/independence-mo/,/mattress-removal/missouri/kansas-city/independence/,301
/greenville-sc,/mattress-removal/south-carolina/greenville/,301
/greenville-sc/,/mattress-removal/south-carolina/greenville/,301
/Wilmington-NC,/mattress-removal/north-carolina/wilmington/,301
/Wilmington-NC/,/mattress-removal/north-carolina/wilmington/,301
/columbia-mo,/mattress-removal/missouri/columbia/,301
/columbia-mo/,/mattress-removal/missouri/columbia/,301
/Wichita-KS,/mattress-removal/kansas/wichita/,301
/Wichita-KS/,/mattress-removal/kansas/wichita/,301
/Salem-OR,/mattress-removal/oregon/salem/,301
/Salem-OR/,/mattress-removal/oregon/salem/,301
/flagstaff-az,/mattress-removal/arizona/flagstaff/,301
/flagstaff-az/,/mattress-removal/arizona/flagstaff/,301
/canton-oh,/mattress-removal/ohio/canton/,301
/canton-oh/,/mattress-removal/ohio/canton/,301
/mansfield-oh,/mattress-removal/ohio/mansfield/,301
/mansfield-oh/,/mattress-removal/ohio/mansfield/,301
/Reading-PA,/mattress-removal/pennsylvania/reading/,301
/Reading-PA/,/mattress-removal/pennsylvania/reading/,301
/downers-grove-il,/mattress-removal/illinois/chicago/downers-grove/,301
/downers-grove-il/,/mattress-removal/illinois/chicago/downers-grove/,301
/albany-or,/mattress-removal/oregon/albany/,301
/albany-or/,/mattress-removal/oregon/albany/,301
/overland-park-ks,/mattress-removal/kansas/kansas-city/overland-park/,301
/overland-park-ks/,/mattress-removal/kansas/kansas-city/overland-park/,301
/louisville-ky,/mattress-removal/kentucky/louisville/,301
/louisville-ky/,/mattress-removal/kentucky/louisville/,301
/bellingham-wa,/mattress-removal/washington/bellingham/,301
/bellingham-wa/,/mattress-removal/washington/bellingham/,301
/joplin-mo,/mattress-removal/missouri/joplin/,301
/joplin-mo/,/mattress-removal/missouri/joplin/,301
/winston-salem-nc,/mattress-removal/north-carolina/winston-salem/,301
/winston-salem-nc/,/mattress-removal/north-carolina/winston-salem/,301
/Appleton-WI,/mattress-removal/wisconsin/appleton/,301
/Appleton-WI/,/mattress-removal/wisconsin/appleton/,301
/south-bend-in,/mattress-removal/indiana/south-bend/,301
/south-bend-in/,/mattress-removal/indiana/south-bend/,301
/Rapid-City-SD,/mattress-removal/south-dakota/rapid-city/,301
/Rapid-City-SD/,/mattress-removal/south-dakota/rapid-city/,301
/beavercreek-oh,/mattress-removal/ohio/dayton/beavercreek/,301
/beavercreek-oh/,/mattress-removal/ohio/dayton/beavercreek/,301
/Madison-WI,/mattress-removal/wisconsin/madison/,301
/Madison-WI/,/mattress-removal/wisconsin/madison/,301
/Anchorage-AK,/mattress-removal/alaska/anchorage/,301
/Anchorage-AK/,/mattress-removal/alaska/anchorage/,301
/woodstock-ga,/mattress-removal/georgia/atlanta/woodstock/,301
/woodstock-ga/,/mattress-removal/georgia/atlanta/woodstock/,301
/newark-de,/mattress-removal/delaware/newark/,301
/newark-de/,/mattress-removal/delaware/newark/,301
/orem-ut,/mattress-removal/utah/provo/orem/,301
/orem-ut/,/mattress-removal/utah/provo/orem/,301
/duluth-mn,/mattress-removal/minnesota/duluth/,301
/duluth-mn/,/mattress-removal/minnesota/duluth/,301
/janesville-wi,/mattress-removal/wisconsin/janesville/,301
/janesville-wi/,/mattress-removal/wisconsin/janesville/,301
/lancaster-pa,/mattress-removal/pennsylvania/lancaster/,301
/lancaster-pa/,/mattress-removal/pennsylvania/lancaster/,301
/Logan-UT,/mattress-removal/utah/logan/,301
/Logan-UT/,/mattress-removal/utah/logan/,301
/Seattle-WA,/mattress-removal/washington/seattle/,301
/Seattle-WA/,/mattress-removal/washington/seattle/,301
/medford-or,/mattress-removal/oregon/medford/,301
/medford-or/,/mattress-removal/oregon/medford/,301
/ithaca-ny,/mattress-removal/new-york/ithaca/,301
/ithaca-ny/,/mattress-removal/new-york/ithaca/,301
/sammamish-wa,/mattress-removal/washington/seattle/sammamish/,301
/sammamish-wa/,/mattress-removal/washington/seattle/sammamish/,301
/cheyenne-wy,/mattress-removal/wyoming/cheyenne/,301
/cheyenne-wy/,/mattress-removal/wyoming/cheyenne/,301
/Corvallis-OR,/mattress-removal/oregon/corvallis/,301
/Corvallis-OR/,/mattress-removal/oregon/corvallis/,301
/olathe-ks,/mattress-removal/kansas/kansas-city/olathe/,301
/olathe-ks/,/mattress-removal/kansas/kansas-city/olathe/,301
/anderson-sc,/mattress-removal/south-carolina/anderson/,301
/anderson-sc/,/mattress-removal/south-carolina/anderson/,301
/Tuscaloosa-AL,/mattress-removal/alabama/tuscaloosa/,301
/Tuscaloosa-AL/,/mattress-removal/alabama/tuscaloosa/,301
/sioux-falls-sd,/mattress-removal/south-dakota/sioux-falls/,301
/sioux-falls-sd/,/mattress-removal/south-dakota/sioux-falls/,301
/billings-mt,/mattress-removal/montana/billings/,301
/billings-mt/,/mattress-removal/montana/billings/,301
/ames-ia,/mattress-removal/iowa/ames/,301
/ames-ia/,/mattress-removal/iowa/ames/,301
/syracuse-ny,/mattress-removal/new-york/syracuse/,301
/syracuse-ny/,/mattress-removal/new-york/syracuse/,301
/morgantown-wv,/mattress-removal/west-virginia/morgantown/,301
/morgantown-wv/,/mattress-removal/west-virginia/morgantown/,301
/reno-nv,/mattress-removal/nevada/reno/,301
/reno-nv/,/mattress-removal/nevada/reno/,301
/bend-or,/mattress-removal/oregon/bend/,301
/bend-or/,/mattress-removal/oregon/bend/,301
/rochester-ny,/mattress-removal/new-york/rochester/,301
/rochester-ny/,/mattress-removal/new-york/rochester/,301
/Lafayette-IN,/mattress-removal/indiana/lafayette/,301
/Lafayette-IN/,/mattress-removal/indiana/lafayette/,301
/davenport-ia,/mattress-removal/iowa/davenport/,301
/davenport-ia/,/mattress-removal/iowa/davenport/,301
/indianapolis-in,/mattress-removal/indiana/indianapolis/,301
/indianapolis-in/,/mattress-removal/indiana/indianapolis/,301
/williamsport-pa,/mattress-removal/pennsylvania/williamsport/,301
/williamsport-pa/,/mattress-removal/pennsylvania/williamsport/,301
/summerville-sc,/mattress-removal/south-carolina/charleston/summerville/,301
/summerville-sc/,/mattress-removal/south-carolina/charleston/summerville/,301
/newark-oh,/mattress-removal/ohio/newark/,301
/newark-oh/,/mattress-removal/ohio/newark/,301
/wilkes-barre-pa,/mattress-removal/pennsylvania/wilkes-barre/,301
/wilkes-barre-pa/,/mattress-removal/pennsylvania/wilkes-barre/,301
/grants-pass-or,/mattress-removal/oregon/grants-pass/,301
/grants-pass-or/,/mattress-removal/oregon/grants-pass/,301
/Tigard-OR,/mattress-removal/oregon/portland/tigard/,301
/Tigard-OR/,/mattress-removal/oregon/portland/tigard/,301
/lebanon-pa,/mattress-removal/pennsylvania/lebanon/,301
/lebanon-pa/,/mattress-removal/pennsylvania/lebanon/,301
/Annapolis-MD,/mattress-removal/maryland/annapolis/,301
/Annapolis-MD/,/mattress-removal/maryland/annapolis/,301
/yakima-wa,/mattress-removal/washington/yakima/,301
/yakima-wa/,/mattress-removal/washington/yakima/,301
/santa-fe-nm,/mattress-removal/new-mexico/santa-fe/,301
/santa-fe-nm/,/mattress-removal/new-mexico/santa-fe/,301
/Lancaster-PA,/mattress-removal/pennsylvania/lancaster/,301
/Lancaster-PA/,/mattress-removal/pennsylvania/lancaster/,301
/fishers-in,/mattress-removal/indiana/indianapolis/fishers/,301
/fishers-in/,/mattress-removal/indiana/indianapolis/fishers/,301
/rio-rancho-nm,/mattress-removal/new-mexico/albuquerque/rio-rancho/,301
/rio-rancho-nm/,/mattress-removal/new-mexico/albuquerque/rio-rancho/,301
/Carmel-IN,/mattress-removal/indiana/indianapolis/carmel/,301
/Carmel-IN/,/mattress-removal/indiana/indianapolis/carmel/,301
/Bowling-Green-KY,/mattress-removal/kentucky/bowling-green/,301
/Bowling-Green-KY/,/mattress-removal/kentucky/bowling-green/,301
/Tulsa-OK,/mattress-removal/oklahoma/tulsa/,301
/Tulsa-OK/,/mattress-removal/oklahoma/tulsa/,301
/hattiesburg-ms,/mattress-removal/mississippi/hattiesburg/,301
/hattiesburg-ms/,/mattress-removal/mississippi/hattiesburg/,301
/fort-wayne-in,/mattress-removal/indiana/fort-wayne/,301
/fort-wayne-in/,/mattress-removal/indiana/fort-wayne/,301
/Little-Rock-AR,/mattress-removal/arkansas/little-rock/,301
/Little-Rock-AR/,/mattress-removal/arkansas/little-rock/,301
/clarksville-tn,/mattress-removal/tennessee/clarksville/,301
/clarksville-tn/,/mattress-removal/tennessee/clarksville/,301
/akron-oh,/mattress-removal/ohio/akron/,301
/akron-oh/,/mattress-removal/ohio/akron/,301
/ankeny-ia,/mattress-removal/iowa/des-moines/ankeny/,301
/ankeny-ia/,/mattress-removal/iowa/des-moines/ankeny/,301
/noblesville-in,/mattress-removal/indiana/indianapolis/noblesville/,301
/noblesville-in/,/mattress-removal/indiana/indianapolis/noblesville/,301
/Oklahoma-City-OK,/mattress-removal/oklahoma/oklahoma-city/,301
/Oklahoma-City-OK/,/mattress-removal/oklahoma/oklahoma-city/,301
/las-cruces-nm,/mattress-removal/new-mexico/las-cruces/,301
/las-cruces-nm/,/mattress-removal/new-mexico/las-cruces/,301
/iowa-city-ia,/mattress-removal/iowa/iowa-city/,301
/iowa-city-ia/,/mattress-removal/iowa/iowa-city/,301
/Provo-UT,/mattress-removal/utah/provo/,301
/Provo-UT/,/mattress-removal/utah/provo/,301
/conroe-tx,/mattress-removal/texas/houston/conroe/,301
/conroe-tx/,/mattress-removal/texas/houston/conroe/,301
/Atlanta-GA,/mattress-removal/georgia/atlanta/,301
/Atlanta-GA/,/mattress-removal/georgia/atlanta/,301
/conway-ar,/mattress-removal/arkansas/little-rock/conway/,301
/conway-ar/,/mattress-removal/arkansas/little-rock/conway/,301
/las-vegas-nv,/mattress-removal/nevada/las-vegas/,301
/las-vegas-nv/,/mattress-removal/nevada/las-vegas/,301
/san-diego-ca,/mattress-removal/california/san-diego/,301
/san-diego-ca/,/mattress-removal/california/san-diego/,301
/apple-valley-mn,/mattress-removal/minnesota/minneapolis/apple-valley/,301
/apple-valley-mn/,/mattress-removal/minnesota/minneapolis/apple-valley/,301
/gulfport-ms,/mattress-removal/mississippi/gulfport/,301
/gulfport-ms/,/mattress-removal/mississippi/gulfport/,301
/spartanburg-sc,/mattress-removal/south-carolina/spartanburg/,301
/spartanburg-sc/,/mattress-removal/south-carolina/spartanburg/,301
/pocatello-id,/mattress-removal/idaho/pocatello/,301
/pocatello-id/,/mattress-removal/idaho/pocatello/,301
/kansas-city-mo,/mattress-removal/missouri/kansas-city/,301
/kansas-city-mo/,/mattress-removal/missouri/kansas-city/,301
/elk-grove-ca,/mattress-removal/california/sacramento/elk-grove/,301
/elk-grove-ca/,/mattress-removal/california/sacramento/elk-grove/,301
/pasadena-ca,/mattress-removal/california/los-angeles/pasadena/,301
/pasadena-ca/,/mattress-removal/california/los-angeles/pasadena/,301
/manhattan-ks,/mattress-removal/kansas/manhattan/,301
/manhattan-ks/,/mattress-removal/kansas/manhattan/,301
/Nampa-ID,/mattress-removal/idaho/boise/nampa/,301
/Nampa-ID/,/mattress-removal/idaho/boise/nampa/,301
/schenectady-ny,/mattress-removal/new-york/albany/schenectady/,301
/schenectady-ny/,/mattress-removal/new-york/albany/schenectady/,301
/idaho-falls-id,/mattress-removal/idaho/idaho-falls/,301
/idaho-falls-id/,/mattress-removal/idaho/idaho-falls/,301
/surprise-az,/mattress-removal/arizona/phoenix/surprise/,301
/surprise-az/,/mattress-removal/arizona/phoenix/surprise/,301
/Charlotte-NC,/mattress-removal/north-carolina/charlotte/,301
/Charlotte-NC/,/mattress-removal/north-carolina/charlotte/,301
/spokane-wa,/mattress-removal/washington/spokane/,301
/spokane-wa/,/mattress-removal/washington/spokane/,301
/saint-charles-mo,/mattress-removal/missouri/st-louis/st-charles/,301
/saint-charles-mo/,/mattress-removal/missouri/st-louis/st-charles/,301
/Birmingham-AL,/mattress-removal/alabama/birmingham/,301
/Birmingham-AL/,/mattress-removal/alabama/birmingham/,301
/sioux-city-ia,/mattress-removal/iowa/sioux-city/,301
/sioux-city-ia/,/mattress-removal/iowa/sioux-city/,301
/Honolulu-HI,/mattress-removal/hawaii/honolulu/,301
/Honolulu-HI/,/mattress-removal/hawaii/honolulu/,301
/saint-petersburg-fl,/mattress-removal/florida/tampa/st-petersburg/,301
/saint-petersburg-fl/,/mattress-removal/florida/tampa/st-petersburg/,301
/ann-arbor-mi,/mattress-removal/michigan/ann-arbor/,301
/ann-arbor-mi/,/mattress-removal/michigan/ann-arbor/,301
/tupelo-ms,/mattress-removal/mississippi/tupelo/,301
/tupelo-ms/,/mattress-removal/mississippi/tupelo/,301
/Philadelphia-PA,/mattress-removal/pennsylvania/philadelphia/,301
/Philadelphia-PA/,/mattress-removal/pennsylvania/philadelphia/,301
/jacksonville-fl,/mattress-removal/florida/jacksonville/,301
/jacksonville-fl/,/mattress-removal/florida/jacksonville/,301
/eugene-or,/mattress-removal/oregon/eugene/,301
/eugene-or/,/mattress-removal/oregon/eugene/,301
/Green-Bay-WI,/mattress-removal/wisconsin/green-bay/,301
/Green-Bay-WI/,/mattress-removal/wisconsin/green-bay/,301
/chicago-il,/mattress-removal/illinois/chicago/,301
/chicago-il/,/mattress-removal/illinois/chicago/,301
/Dayton-OH,/mattress-removal/ohio/dayton/,301
/Dayton-OH/,/mattress-removal/ohio/dayton/,301
/eden-prairie-mn,/mattress-removal/minnesota/minneapolis/eden-prairie/,301
/eden-prairie-mn/,/mattress-removal/minnesota/minneapolis/eden-prairie/,301
/melbourne-fl,/mattress-removal/florida/palm-bay/melbourne/,301
/melbourne-fl/,/mattress-removal/florida/palm-bay/melbourne/,301
/waterloo-ia,/mattress-removal/iowa/waterloo/,301
/waterloo-ia/,/mattress-removal/iowa/waterloo/,301
/Raleigh-NC,/mattress-removal/north-carolina/raleigh/,301
/Raleigh-NC/,/mattress-removal/north-carolina/raleigh/,301
/london-ca,/mattress-removal/california/london/,301
/london-ca/,/mattress-removal/california/london/,301
/mount-pleasant-sc,/mattress-removal/south-carolina/charleston/mount-pleasant/,301
/mount-pleasant-sc/,/mattress-removal/south-carolina/charleston/mount-pleasant/,301
/sacramento-ca,/mattress-removal/california/sacramento/,301
/sacramento-ca/,/mattress-removal/california/sacramento/,301
/tulare-ca,/mattress-removal/california/tulare/,301
/tulare-ca/,/mattress-removal/california/tulare/,301
/roseville-ca,/mattress-removal/california/sacramento/roseville/,301
/roseville-ca/,/mattress-removal/california/sacramento/roseville/,301
/boulder-co,/mattress-removal/colorado/boulder/,301
/boulder-co/,/mattress-removal/colorado/boulder/,301
/lawrenceville-ga,/mattress-removal/georgia/atlanta/lawrenceville/,301
/lawrenceville-ga/,/mattress-removal/georgia/atlanta/lawrenceville/,301
/rockford-il,/mattress-removal/illinois/rockford/,301
/rockford-il/,/mattress-removal/illinois/rockford/,301
/florence-sc,/mattress-removal/south-carolina/florence/,301
/florence-sc/,/mattress-removal/south-carolina/florence/,301
/Kalamazoo-MI,/mattress-removal/michigan/kalamazoo/,301
/Kalamazoo-MI/,/mattress-removal/michigan/kalamazoo/,301
/colorado-springs-co,/mattress-removal/colorado/colorado-springs/,301
/colorado-springs-co/,/mattress-removal/colorado/colorado-springs/,301
/roswell-ga,/mattress-removal/georgia/atlanta/roswell/,301
/roswell-ga/,/mattress-removal/georgia/atlanta/roswell/,301
/rochester-mn,/mattress-removal/minnesota/rochester/,301
/rochester-mn/,/mattress-removal/minnesota/rochester/,301
/owensboro-ky,/mattress-removal/kentucky/owensboro/,301
/owensboro-ky/,/mattress-removal/kentucky/owensboro/,301
/cleveland-tn,/mattress-removal/tennessee/cleveland/,301
/cleveland-tn/,/mattress-removal/tennessee/cleveland/,301
/saginaw-mi,/mattress-removal/michigan/saginaw/,301
/saginaw-mi/,/mattress-removal/michigan/saginaw/,301
/gainesville-fl,/mattress-removal/florida/gainesville/,301
/gainesville-fl/,/mattress-removal/florida/gainesville/,301
/santa-rosa-beach-fl,/mattress-removal/florida/santa-rosa-beach/,301
/santa-rosa-beach-fl/,/mattress-removal/florida/santa-rosa-beach/,301
/fort-collins-co,/mattress-removal/colorado/fort-collins/,301
/fort-collins-co/,/mattress-removal/colorado/fort-collins/,301
/sheboygan-wi,/mattress-removal/wisconsin/sheboygan/,301
/sheboygan-wi/,/mattress-removal/wisconsin/sheboygan/,301
/rapid-city-sd,/mattress-removal/south-dakota/rapid-city/,301
/rapid-city-sd/,/mattress-removal/south-dakota/rapid-city/,301
/bozeman-mt,/mattress-removal/montana/bozeman/,301
/bozeman-mt/,/mattress-removal/montana/bozeman/,301
/temple-tx,/mattress-removal/texas/temple/,301
/temple-tx/,/mattress-removal/texas/temple/,301
/cedar-rapids-ia,/mattress-removal/iowa/cedar-rapids/,301
/cedar-rapids-ia/,/mattress-removal/iowa/cedar-rapids/,301
/lakewood-wa,/mattress-removal/washington/tacoma/lakewood/,301
/lakewood-wa/,/mattress-removal/washington/tacoma/lakewood/,301
/Long-Beach-CA,/mattress-removal/california/los-angeles/long-beach/,301
/Long-Beach-CA/,/mattress-removal/california/los-angeles/long-beach/,301
/atascadero-ca,/mattress-removal/california/atascadero/,301
/atascadero-ca/,/mattress-removal/california/atascadero/,301
/johns-creek-ga,/mattress-removal/georgia/atlanta/johns-creek/,301
/johns-creek-ga/,/mattress-removal/georgia/atlanta/johns-creek/,301
/Trenton-NJ,/mattress-removal/new-jersey/trenton/,301
/Trenton-NJ/,/mattress-removal/new-jersey/trenton/,301
/brooklyn-park-mn,/mattress-removal/minnesota/minneapolis/brooklyn-park/,301
/brooklyn-park-mn/,/mattress-removal/minnesota/minneapolis/brooklyn-park/,301
/salisbury-md,/mattress-removal/maryland/salisbury/,301
/salisbury-md/,/mattress-removal/maryland/salisbury/,301
/fall-river-ma,/mattress-removal/massachusetts/fall-river/,301
/fall-river-ma/,/mattress-removal/massachusetts/fall-river/,301
/renton-wa,/mattress-removal/washington/seattle/renton/,301
/renton-wa/,/mattress-removal/washington/seattle/renton/,301
/Bethlehem-PA,/mattress-removal/pennsylvania/allentown/bethlehem/,301
/Bethlehem-PA/,/mattress-removal/pennsylvania/allentown/bethlehem/,301
/columbia-sc,/mattress-removal/south-carolina/columbia/,301
/columbia-sc/,/mattress-removal/south-carolina/columbia/,301
/Milwaukee-WI,/mattress-removal/wisconsin/milwaukee/,301
/Milwaukee-WI/,/mattress-removal/wisconsin/milwaukee/,301
/Des-Moines-IA,/mattress-removal/iowa/des-moines/,301
/Des-Moines-IA/,/mattress-removal/iowa/des-moines/,301
/Asheville-NC,/mattress-removal/north-carolina/asheville/,301
/Asheville-NC/,/mattress-removal/north-carolina/asheville/,301
/abilene-tx,/mattress-removal/texas/abilene/,301
/abilene-tx/,/mattress-removal/texas/abilene/,301
/broken-arrow-ok,/mattress-removal/oklahoma/tulsa/broken-arrow/,301
/broken-arrow-ok/,/mattress-removal/oklahoma/tulsa/broken-arrow/,301
/Flower-Mound-TX,/mattress-removal/texas/dallas/flower-mound/,301
/Flower-Mound-TX/,/mattress-removal/texas/dallas/flower-mound/,301
/warner-robins-ga,/mattress-removal/georgia/warner-robins/,301
/warner-robins-ga/,/mattress-removal/georgia/warner-robins/,301
/houston-tx,/mattress-removal/texas/houston/,301
/houston-tx/,/mattress-removal/texas/houston/,301
/Knoxville-TN,/mattress-removal/tennessee/knoxville/,301
/Knoxville-TN/,/mattress-removal/tennessee/knoxville/,301
/savannah-ga,/mattress-removal/georgia/savannah/,301
/savannah-ga/,/mattress-removal/georgia/savannah/,301
/toms-river-nj,/mattress-removal/new-jersey/toms-river/,301
/toms-river-nj/,/mattress-removal/new-jersey/toms-river/,301
/state-college-pa,/mattress-removal/pennsylvania/state-college/,301
/state-college-pa/,/mattress-removal/pennsylvania/state-college/,301
/tucson-az,/mattress-removal/arizona/tucson/,301
/tucson-az/,/mattress-removal/arizona/tucson/,301
/Arlington-TX,/mattress-removal/texas/dallas/arlington/,301
/Arlington-TX/,/mattress-removal/texas/dallas/arlington/,301
/kingsport-tn,/mattress-removal/tennessee/kingsport/,301
/kingsport-tn/,/mattress-removal/tennessee/kingsport/,301
/fayetteville-ar,/mattress-removal/arkansas/fayetteville/,301
/fayetteville-ar/,/mattress-removal/arkansas/fayetteville/,301
/Wilkes-Barre-PA,/mattress-removal/pennsylvania/wilkes-barre/,301
/Wilkes-Barre-PA/,/mattress-removal/pennsylvania/wilkes-barre/,301
/hillsboro-or,/mattress-removal/oregon/portland/hillsboro/,301
/hillsboro-or/,/mattress-removal/oregon/portland/hillsboro/,301
/allentown-pa,/mattress-removal/pennsylvania/allentown/,301
/allentown-pa/,/mattress-removal/pennsylvania/allentown/,301
/layton-ut,/mattress-removal/utah/ogden/layton/,301
/layton-ut/,/mattress-removal/utah/ogden/layton/,301
/altoona-pa,/mattress-removal/pennsylvania/altoona/,301
/altoona-pa/,/mattress-removal/pennsylvania/altoona/,301
/lawrence-ks,/mattress-removal/kansas/lawrence/,301
/lawrence-ks/,/mattress-removal/kansas/lawrence/,301
/brookfield-wi,/mattress-removal/wisconsin/milwaukee/brookfield/,301
/brookfield-wi/,/mattress-removal/wisconsin/milwaukee/brookfield/,301
/Gainesville-FL,/mattress-removal/florida/gainesville/,301
/Gainesville-FL/,/mattress-removal/florida/gainesville/,301
/springfield-oh,/mattress-removal/ohio/springfield/,301
/springfield-oh/,/mattress-removal/ohio/springfield/,301
/frederick-md,/mattress-removal/maryland/frederick/,301
